Bovino para leche,,,,,,,,,,
,,,,,,,,,,
Población ganadera,,,,,,,,,,
,,,,,,,,,,
2014-2023,,,,,,,,,,
,,,,,,,,,,
Cabezas,,,,,,,,,,
,,,,,,,,,,
Estado/Delegación,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023P
Aguascalientes,"72,065","73,377","74,927","78,230","77,383","77,645","77,955","78,678","79,511","80,424"
Baja California,"42,833","42,036","41,171","42,341","42,642","43,421","43,550","43,150","43,954","44,513"
Baja California Sur,"14,500","12,713","13,233","13,163","12,975","13,110","13,315","13,324","13,370","13,545"
Campeche,"5,693","5,623","5,640","5,625","5,669","5,614","5,630","5,765","5,892","5,981"
Coahuila,"238,729","242,610","247,271","236,789","240,010","244,750","256,249","256,936","262,519","267,376"
Colima,"7,216","7,370","7,379","7,424","7,539","7,662","7,769","8,239","8,383","8,472"
Chiapas,"31,390","31,473","31,420","31,244","31,284","31,779","31,575","32,345","32,626","33,058"
Chihuahua,"269,940","276,202","275,285","284,766","288,830","294,629","299,932","308,206","313,797","317,298"
Ciudad de México,"4,942","5,091","5,253","5,354","4,930","4,769","4,743","4,634","4,429","4,416"
Durango,"261,987","276,791","282,758","291,866","299,317","303,001","314,720","334,106","342,292","349,666"
Guanajuato,"191,472","192,243","195,669","194,693","196,287","197,758","200,916","203,789","207,021","209,751"
Guerrero,"19,131","19,540","19,710","19,379","18,987","18,935","18,952","19,055","19,204","19,389"
Hidalgo,"192,631","194,669","198,933","199,068","197,572","198,823","198,027","199,184","200,151","202,760"
Jalisco,"329,298","334,651","343,691","352,461","362,791","374,411","386,899","390,965","397,323","402,347"
Estado de México,"111,792","110,817","107,871","106,794","103,044","105,072","100,878","100,365","100,702","101,836"
Michoacán,"63,999","62,569","64,033","62,682","63,463","64,916","67,008","67,467","68,272","69,167"
Morelos,569,562,512,497,503,508,516,521,516,520
Nayarit,"16,451","15,374","15,341","15,418","15,365","15,306","15,202","15,607","15,391","15,530"
Nuevo León,"17,332","14,446","14,317","13,984","13,779","13,730","13,203","7,742","6,632","4,584"
Oaxaca,"21,736","21,373","21,725","21,680","22,081","22,164","22,125","22,397","22,567","22,768"
Puebla,"176,926","178,491","177,505","175,961","176,251","176,731","178,066","179,399","180,209","182,256"
Querétaro,"106,553","107,659","111,906","112,940","115,660","115,855","116,614","117,530","118,322","119,940"
Quintana Roo,372,332,0,0,0,0,0,0,0,0
San Luis Potosí,"16,349","16,372","16,783","17,465","18,024","18,092","18,478","18,615","18,752","18,960"
Sinaloa,"18,033","18,280","18,450","18,157","18,053","17,147","17,204","17,280","17,265","17,336"
Sonora,"18,711","18,880","19,012","18,922","18,635","18,651","18,603","18,781","19,147","19,401"
Tabasco,"15,324","14,986","14,883","14,822","14,245","14,206","11,410","10,378","10,301","10,412"
Tamaulipas,"1,004",941,794,804,867,848,808,800,824,831
Tlaxcala,"15,432","15,073","15,129","14,970","14,769","14,782","14,755","14,686","14,830","15,038"
Veracruz,"60,109","59,881","60,018","60,432","59,792","61,024","62,720","63,695","64,756","65,516"
Yucatán,"5,220","4,954","4,228","4,056","4,030","3,993","4,010","3,428","3,350","3,356"
Zacatecas,"82,842","82,304","84,849","84,143","84,895","84,490","84,479","85,449","86,249","87,087"
Total Nacional,"2,430,581","2,457,683","2,489,696","2,506,130","2,529,672","2,563,822","2,606,311","2,642,516","2,678,557","2,713,534"
Región Lagunera,"443,526","464,086","471,822","469,159","475,996","483,397","506,217","522,508","536,288","547,240"
Laguna-Coahuila,"221,929","228,395","233,192","222,598","224,672","229,185","240,871","241,642","247,440","252,024"
Laguna-Durango,"221,597","235,691","238,630","246,561","251,324","254,212","265,346","280,866","288,848","295,216"
Coahuila (Delegación),"16,800","14,215","14,079","14,191","15,338","15,565","15,378","15,294","15,281","15,352"
Durango (Delegación),"40,390","41,100","44,128","45,305","47,993","48,789","49,374","53,240","53,748","54,450"
,,,,,,,,,,
P/ Cifras preliminares.,,,,,,,,,,
,,,,,,,,,,
Fuente: Servicio de Información Agroalimentaria y Pesquera (SIAP).,,,,,,,,,,
