Bovinos carne y leche,,,,,,,,,,,,
,,,,,,,,,,,,
Población ganadera,,,,,,,,,,,,
,,,,,,,,,,,,
2014-2023,,,,,,,,,,,,
,,,,,,,,,,,,
Cabezas,,,,,,,,,,,,
,,,,,,,,,,,,
Estado/Delegación,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023P,,
Aguascalientes,"133,096","136,429","146,339","154,459","157,920","160,022","163,609","167,301","171,158","174,414",,
Baja California,"243,478","239,584","246,048","248,769","258,855","279,255","291,897","298,116","304,800","307,818",,
Baja California Sur,"160,215","159,396","163,569","167,572","168,206","165,160","162,874","157,960","159,021","160,199",,
Campeche,"643,443","664,866","642,907","659,178","668,237","664,464","668,465","674,094","679,605","683,227",,
Coahuila,"636,183","669,481","668,958","639,736","662,104","677,780","723,137","731,511","739,532","749,226",,
Colima,"166,331","164,598","173,638","170,928","175,006","181,195","185,614","189,811","195,600","199,289",,
Chiapas,"2,653,408","2,670,563","2,575,615","2,544,219","2,572,877","2,594,339","2,611,432","2,627,827","2,644,644","2,666,521",,
Chihuahua,"1,978,363","2,080,550","2,329,919","2,388,411","2,469,946","2,504,286","2,521,501","2,541,241","2,555,480","2,563,108",,
Ciudad de México,"7,486","7,475","7,429","7,621","7,216","7,068","7,037","6,964","6,761","6,772",,
Durango,"1,274,663","1,463,766","1,465,609","1,549,571","1,580,364","1,598,253","1,616,290","1,662,467","1,689,293","1,713,712",,
Guanajuato,"964,710","954,364","944,883","950,366","925,264","943,312","962,007","977,056","994,147","1,010,418",,
Guerrero,"1,405,017","1,396,535","1,305,128","1,320,156","1,323,716","1,327,029","1,322,002","1,326,964","1,331,125","1,334,600",,
Hidalgo,"633,950","634,896","638,366","637,667","642,126","647,429","650,098","652,157","661,311","671,722",,
Jalisco,"3,043,172","3,036,818","3,140,602","3,206,495","3,290,786","3,326,573","3,370,866","3,430,721","3,477,710","3,517,941",,
Estado de México,"628,727","642,342","649,224","649,628","644,456","652,303","659,969","666,980","676,696","687,110",,
Michoacán,"1,899,026","1,890,279","1,925,787","1,886,326","1,947,667","2,005,272","2,036,503","2,045,972","2,054,323","2,061,797",,
Morelos,"116,171","130,866","136,445","133,888","135,204","137,479","138,404","139,475","140,881","142,364",,
Nayarit,"693,415","681,510","700,841","731,880","658,407","662,396","666,143","669,485","669,952","670,644",,
Nuevo León,"489,415","514,332","507,324","524,883","547,955","574,027","581,288","586,979","596,313","602,254",,
Oaxaca,"1,673,581","1,674,593","1,698,450","1,741,741","1,785,211","1,813,434","1,826,633","1,835,040","1,840,349","1,844,891",,
Puebla,"672,489","693,675","684,178","684,937","697,786","701,159","720,359","727,915","739,075","751,229",,
Querétaro,"335,691","324,823","336,673","329,129","340,439","341,260","345,862","351,188","355,978","359,995",,
Quintana Roo,"118,033","117,220","107,365","121,495","122,814","124,952","121,274","122,193","123,014","123,747",,
San Luis Potosí,"783,712","793,216","857,750","916,998","998,420","1,003,821","1,022,499","1,038,724","1,048,908","1,057,139",,
Sinaloa,"1,562,600","1,544,978","1,522,879","1,609,408","1,611,182","1,614,256","1,635,441","1,640,396","1,653,036","1,665,988",,
Sonora,"1,428,881","1,524,925","1,577,257","1,632,154","1,709,366","1,651,361","1,663,392","1,648,703","1,652,209","1,655,136",,
Tabasco,"1,583,656","1,593,976","1,625,223","1,659,680","1,660,146","1,682,798","1,692,442","1,699,099","1,711,069","1,720,826",,
Tamaulipas,"1,366,488","1,362,953","1,187,993","1,207,514","1,177,440","1,192,275","1,199,122","1,210,025","1,216,670","1,220,235",,
Tlaxcala,"53,751","50,345","47,402","45,877","46,591","45,303","45,239","45,303","46,089","46,922",,
Veracruz,"4,150,377","4,233,896","4,273,827","4,302,814","4,306,215","4,386,162","4,470,648","4,549,067","4,602,595","4,634,761",,
Yucatán,"558,729","538,917","569,258","519,353","565,787","578,240","582,318","584,512","596,540","605,536",,
Zacatecas,"881,272","910,456","922,404","935,015","962,562","982,297","989,254","993,639","1,006,000","1,010,051",,
Total Nacional,"32,939,529","33,502,623","33,779,290","34,277,868","34,820,271","35,224,960","35,653,619","35,998,885","36,339,884","36,619,592",,
Región Lagunera,"598,196","749,580","778,844","829,938","838,062","855,355","917,023","955,115","976,430","994,971",,
Laguna-Coahuila,"251,950","262,724","271,568","258,008","261,840","268,698","315,500","319,855","325,396","331,175",,
Laguna-Durango,"346,246","486,856","507,276","571,930","576,222","586,657","601,523","635,260","651,034","663,796",,
Coahuila (Delegación),"384,233","406,757","397,390","381,728","400,264","409,082","407,637","411,656","414,338","418,051",,
Durango (Delegación),"928,417","976,910","958,333","977,641","1,004,142","1,011,596","1,014,767","1,027,207","1,038,563","1,049,916",,
,,,,,,,,,,,,
P/ Cifras preliminares.,,,,,,,,,,,,
,,,,,,,,,,,,
Fuente: Servicio de Información Agroalimentaria y Pesquera (SIAP).,,,,,,,,,,,,
